DATE,Aantal Covid-overlijdens,Aantal Covid-overlijdens opgeteld
2021-11-24,49,26949
2021-11-25,44,26993
2021-11-26,40,27033
2021-11-27,48,27081
2021-11-28,47,27128
2021-11-29,45,27173
2021-11-30,61,27234
2021-12-01,43,27277
2021-12-02,53,27330
2021-12-03,48,27378
2021-12-04,45,27423
2021-12-05,57,27480
2021-12-06,39,27519
2021-12-07,49,27568
2021-12-08,55,27623
2021-12-09,35,27658
2021-12-10,48,27706
2021-12-11,45,27751
2021-12-12,44,27795
2021-12-13,43,27838
2021-12-14,37,27875
2021-12-15,41,27916
2021-12-16,37,27953
2021-12-17,26,27979
2021-12-18,36,28015
2021-12-19,38,28053
2021-12-20,36,28089
2021-12-21,36,28125
2021-12-22,37,28162
2021-12-23,36,28198
2021-12-24,35,28233
2021-12-25,20,28253
2021-12-26,22,28275
2021-12-27,28,28303
2021-12-28,21,28324
2021-12-29,34,28358
2021-12-30,29,28387
2021-12-31,16,28403
2022-01-01,22,28425
2022-01-02,15,28440
2022-01-03,25,28465
2022-01-04,17,28482
2022-01-05,14,28496
2022-01-06,19,28515
2022-01-07,19,28534
2022-01-08,17,28551
2022-01-09,23,28574
2022-01-10,25,28599
2022-01-11,24,28623
2022-01-12,23,28646
2022-01-13,21,28667
2022-01-14,17,28684
2022-01-15,14,28698
2022-01-16,20,28718
2022-01-17,32,28750
2022-01-18,28,28778
2022-01-19,38,28816
2022-01-20,17,28833
2022-01-21,23,28856
2022-01-22,26,28882
2022-01-23,16,28898
2022-01-24,26,28924
2022-01-25,37,28961
2022-01-26,32,28993
2022-01-27,29,29022
2022-01-28,45,29067
2022-01-29,27,29094
2022-01-30,37,29131
2022-01-31,29,29160
2022-02-01,40,29200
2022-02-02,49,29249
2022-02-03,46,29295
2022-02-04,61,29356
2022-02-05,36,29392
2022-02-06,40,29432
2022-02-07,35,29467
2022-02-08,48,29515
2022-02-09,55,29570
2022-02-10,67,29637
2022-02-11,46,29683
2022-02-12,38,29721
2022-02-13,38,29759
2022-02-14,52,29811
2022-02-15,42,29853
2022-02-16,33,29886
2022-02-17,42,29928
2022-02-18,47,29975
2022-02-19,24,29999
2022-02-20,31,30030
2022-02-21,22,30052
2022-02-22,29,30081
2022-02-23,19,30100
2022-02-24,21,30121
2022-02-25,28,30149
2022-02-26,20,30169
2022-02-27,24,30193
2022-02-28,16,30209
2022-03-01,20,30229
